,location,Radius,covered_nodes,Total_nodes_covered
0,"[278.18956651498246, 1218.077726906438]",288.3163659093489,"['245674992', '4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023', '668672574', '668672699']",11
1,"[1317.3302400569319, 695.99267021004]",284.48735996239236,"['5366445105', '5879215634', '6576461331', '667357382', '667357383', '667357385', '667357387', '667357392', '667357401', '667362347', '668685375', '668685380', 'cluster_5879215623_5879215625']",13
2,"[670.2075532999733, 104.94501526022748]",285.33875013253584,"['6435688923', '6435688924', '6627410440', '6627410442', '668699193', '668699234', '668699237', '668699242']",8
3,"[686.4829655184517, 1397.6291385369232]",286.53424348264775,"['4348259295', '4348259298', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445083', '5366445085', '5366445092', '5584937650', '6573701501', '6573701505', '6573701524', '667357361', '668672699', '668672704']",17
4,"[1158.3763017576498, 1135.771436926665]",283.201063136079,"['2055461155', '4348259327', '4348259340', '4369058864', '5882320075', '6576461331', '667357367', '667357405', '667357407', '667357409', '667357412', '667357415', '667357419', '7147944038', 'cluster_668620092_7147944044_7147944046']",15
5,"[892.5427661180443, 911.4455728641976]",280.83623941700114,"['3215340463', '5077600694', '5366445083', '5366445084', '6568909593', '6568909594', '6568909595', '6573854574', '6583550562', '667357326', '667357330', '668672700', '7147944038', 'cluster_668620092_7147944044_7147944046']",14
6,"[960.2016507726936, 404.4193202278112]",285.98259280986093,"['5366445105', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '667354765', '667357309', '667357310', '667357311', '667357317', '667357318', '667357325', '667357368', '667357382', '668660548', '668685375', '668699249']",24
7,"[655.5306014437856, 872.8104615613856]",287.184148477563,"['5077600694', '6583550562', '667357326', '667357330', '668672700']",5
8,"[1064.547027475046, 1513.1394812943572]",284.64654940685926,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348259341', '4348265098', '4348265099', '4348265101', '4348265107', '5366445082', '5882320075', '6572115060', '6573701524', '667357367', '667357419', '667357421', '668612331', '668672704', '6786321691', 'cluster_4348259335_7265460758']",22
