,location,Radius,covered_nodes,Total_nodes_covered
0,"[1125.5255569118726, 1404.4803253240025]",280.5445631046543,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348259340', '4348259341', '4348265099', '4348265101', '4369058864', '5366445082', '5882320075', '6573701524', '667357367', '667357412', '667357419', '667357421', '668612331', '668672704', 'cluster_4348259335_7265460758', 'cluster_668620092_7147944044_7147944046']",22
1,"[1139.2507552293082, 616.5779571193368]",255.16179069227007,"['5366445105', '5879215634', '5879215642', '5879215643', '6568909593', '6568909594', '6573854574', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '667362347', '668685375', '668685380', '668699249', 'cluster_5879215623_5879215625']",18
2,"[960.6281068185438, 336.1748400606791]",250.72873821773638,"['5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '667354765', '667357309', '667357310', '667357311', '667357317', '667357368', '668660548', '668699249']",19
3,"[820.3714938530594, 785.5918400897881]",264.26921720714904,"['3215340463', '5077600694', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '667357318', '667357325', '667357326', '667357330', '668672700', '7147944038']",13
4,"[629.37953381087, 96.22794424961364]",244.23705904215777,"['6435688923', '6435688924', '6627410442', '668699193', '668699234', '668699237', '668699242']",7
5,"[808.9172239898318, 1063.8561773762756]",279.80467451739526,"['5077600694', '5366445082', '5366445083', '5366445084', '5366445085', '5584937650', '6568909595', '6583550562', '668672700', '7147944038', 'cluster_668620092_7147944044_7147944046']",11
6,"[888.9826901401475, 1660.5367888615956]",285.38217982436936,"['1990860600', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6572115060', '6573701501', '6573701505', '6573701524', '667357421', '668612331', '6786321691']",14
7,"[224.34632984971864, 1390.3896817587352]",244.2477822868043,"['4348259319', '4348259324', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023']",7
8,"[1299.194420994983, 981.7298841315147]",262.0305077852699,"['2055461155', '4369058864', '6576461331', '667357392', '667357401', '667357405', '667357407', '667357409', '667357412', '667357415']",10
9,"[578.6350147552921, 1281.6534518376138]",284.51578685128067,"['245674992', '4348259295', '4348259298', '5366445085', '5366445092', '5584937650', '6571330021', '6571330022', '6583550562', '667357361', '668672574', '668672699']",12
