,location,Radius,covered_nodes,Total_nodes_covered
0,"[1107.2794366158196, 1392.5085704725973]",408.93745708673197,"['1990860600', '2055461155', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348259340', '4348259341', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4369058864', '5366445082', '5366445083', '5366445084', '5366445085', '5584937650', '5882320075', '6572115060', '6573701501', '6573701524', '667357367', '667357405', '667357407', '667357409', '667357412', '667357415', '667357419', '667357421', '668612331', '668672704', '6786321691', 'cluster_4348259335_7265460758', 'cluster_668620092_7147944044_7147944046']",37
1,"[785.2875139190921, 966.6833953432133]",380.20575822698237,"['245674992', '3215340463', '5077600694', '5366445082', '5366445083', '5366445084', '5366445085', '5584937650', '6568909593', '6568909594', '6568909595', '6573854574', '6583550562', '667357326', '667357330', '668672700', '7147944038', 'cluster_668620092_7147944044_7147944046']",18
2,"[777.373814165543, 204.77038220113207]",408.2385581326437,"['5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '667354765', '667357309', '667357310', '667357311', '667357317', '667357318', '668660548', '668699193', '668699234', '668699237', '668699242', '668699249']",25
3,"[380.0942223448865, 1451.2819146178613]",411.4193388929191,"['245674992', '4348259295', '4348259298', '4348259324', '5280437313', '5280437314', '5366445085', '5366445092', '6571330021', '6571330022', '6571330023', '6573701505', '667357361', '668672574', '668672699']",15
4,"[1214.1077757652472, 719.0924321427402]",403.4290205644972,"['2055461155', '3215340463', '5077600694', '5366445105', '5879215634', '5879215642', '5879215643', '6568909593', '6568909594', '6568909595', '6573854574', '6576461331', '667357317', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '667357392', '667357401', '667357405', '667357407', '667362347', '668685375', '668685380', '668699249', '7147944038', 'cluster_5879215623_5879215625']",29
