,location,Radius,covered_nodes,Total_nodes_covered
0,"[709.1616123472436, 176.204717979139]",334.8846813517071,"['6435688923', '6435688924', '6495983054', '6495983060', '6627410440', '6627410442', '667357309', '667357310', '667357311', '668660548', '668699193', '668699234', '668699237', '668699242']",14
1,"[1164.404801149481, 1506.92543158294]",330.9984531806369,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348259340', '4348259341', '4348265098', '4348265099', '4348265101', '5882320075', '6572115060', '6573701524', '667357367', '667357412', '667357419', '667357421', '668612331', '668672704', '6786321691', 'cluster_4348259335_7265460758']",22
2,"[1151.2599366297072, 972.4516115174611]",330.65785840448643,"['2055461155', '3215340463', '4369058864', '5077600694', '5882320075', '6568909594', '6568909595', '6576461331', '667357392', '667357401', '667357405', '667357407', '667357409', '667357412', '667357415', '667362347', '7147944038', 'cluster_668620092_7147944044_7147944046']",18
3,"[732.2428090122905, 822.5596253130063]",335.1990450535485,"['3215340463', '5077600694', '5366445084', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '6583550562', '667357318', '667357325', '667357326', '667357330', '668672700', '7147944038']",15
4,"[328.11556144307104, 1221.4232523809287]",336.0076051623255,"['245674992', '4348259295', '4348259298', '4348259319', '4348259324', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023', '667357361', '668672574', '668672699']",13
5,"[798.8097742541131, 1450.270359146185]",333.2814600757676,"['1990860600', '4348259298', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445083', '5366445085', '5366445092', '5584937650', '6573701501', '6573701505', '6573701524', '667357361', '667357367', '667357421', '668612331', '668672699', '668672704']",22
6,"[1139.422061559434, 457.87298227852057]",333.36572615934296,"['5366445105', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6568909594', '6568909609', '667354765', '667357309', '667357310', '667357311', '667357317', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '667362347', '668685375', '668685380', '668699249', 'cluster_5879215623_5879215625']",28
