,location,Radius,covered_nodes,Total_nodes_covered
0,"[832.0722403239257, 1062.7608877287016]",307.83913118125554,"['3215340463', '4369058864', '5077600694', '5366445082', '5366445083', '5366445084', '5366445085', '5584937650', '6568909595', '6583550562', '667357326', '667357330', '667357367', '668672700', '668672704', '7147944038', 'cluster_668620092_7147944044_7147944046']",17
1,"[1114.398654443334, 1502.8569722000207]",309.3031303352444,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348259340', '4348259341', '4348265098', '4348265099', '4348265101', '5366445082', '5882320075', '6572115060', '6573701524', '667357367', '667357412', '667357419', '667357421', '668612331', '668672704', '6786321691', 'cluster_4348259335_7265460758']",23
2,"[510.80891086698375, 1079.1008546304495]",304.19064881366023,"['245674992', '4348259295', '6571330023', '6583550562', '667357330', '668672574', '668672699', '668672700']",8
3,"[1182.2913935493102, 398.99074320973466]",314.4185791212038,"['5366445105', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '667354765', '667357309', '667357310', '667357311', '667357317', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '667362347', '668685375', '668699249', 'cluster_5879215623_5879215625']",24
4,"[890.0334223974754, 666.4369438290721]",306.41903935816316,"['3215340463', '5077600694', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '667357317', '667357318', '667357325', '667357326', '667357368', '667357382', '667357385', '667362347', '668699249']",21
5,"[700.7325419952916, 111.69229333139951]",316.19371788767614,"['6435688923', '6435688924', '6495983060', '6627410440', '6627410442', '667357309', '667357310', '668660548', '668699193', '668699234', '668699237', '668699242']",12
6,"[728.3358934512854, 1507.9519722534078]",300.8544234569969,"['4348259298', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445085', '5366445092', '5584937650', '6573701501', '6573701505', '6573701524', '667357361', '667357421', '668612331', '668672699', '668672704']",19
7,"[1335.0916354012713, 977.3315982851315]",311.6050903940226,"['2055461155', '4369058864', '6576461331', '667357392', '667357401', '667357405', '667357407', '667357409', '667357412', '667357415', '668685380']",11
